instant,dteday,season,year,month,hour,holiday,day,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count,activity_cluster
1807,2011-03-20,Spring,2011,Mar,23,0,Sun,Weekend,Light_rain,0.34,0.303,0.61,0.3881,13,11,24,Low Activity
1808,2011-03-21,Summer,2011,Mar,0,0,Mon,Weekday,Light_rain,0.34,0.303,0.66,0.3881,2,11,13,Low Activity
1809,2011-03-21,Summer,2011,Mar,1,0,Mon,Weekday,Misty,0.34,0.303,0.71,0.3881,1,6,7,Low Activity
1810,2011-03-21,Summer,2011,Mar,2,0,Mon,Weekday,Misty,0.34,0.303,0.71,0.3284,1,5,6,Low Activity
1811,2011-03-21,Summer,2011,Mar,3,0,Mon,Weekday,Misty,0.34,0.303,0.71,0.3284,0,1,1,Low Activity
1812,2011-03-21,Summer,2011,Mar,5,0,Mon,Weekday,Clear,0.32,0.303,0.81,0.2985,1,1,2,Low Activity
1813,2011-03-21,Summer,2011,Mar,6,0,Mon,Weekday,Light_rain,0.32,0.303,0.76,0.2537,2,30,32,Low Activity
1814,2011-03-21,Summer,2011,Mar,7,0,Mon,Weekday,Light_rain,0.3,0.2727,0.87,0.4179,3,15,18,Low Activity
1815,2011-03-21,Summer,2011,Mar,8,0,Mon,Weekday,Misty,0.3,0.2727,0.87,0.4179,3,95,98,Medium Activity
1816,2011-03-21,Summer,2011,Mar,9,0,Mon,Weekday,Misty,0.34,0.303,0.81,0.3284,12,115,127,Medium Activity
1817,2011-03-21,Summer,2011,Mar,10,0,Mon,Weekday,Misty,0.38,0.3939,0.76,0.3881,17,45,62,Medium Activity
1818,2011-03-21,Summer,2011,Mar,11,0,Mon,Weekday,Misty,0.42,0.4242,0.71,0.2985,32,47,79,Medium Activity
1819,2011-03-21,Summer,2011,Mar,12,0,Mon,Weekday,Misty,0.44,0.4394,0.77,0.2537,25,56,81,Medium Activity
1820,2011-03-21,Summer,2011,Mar,13,0,Mon,Weekday,Misty,0.5,0.4848,0.63,0.2239,35,77,112,Medium Activity
1821,2011-03-21,Summer,2011,Mar,14,0,Mon,Weekday,Misty,0.54,0.5152,0.64,0.2239,36,65,101,Medium Activity
1822,2011-03-21,Summer,2011,Mar,15,0,Mon,Weekday,Misty,0.56,0.5303,0.6,0.2239,41,66,107,Medium Activity
1823,2011-03-21,Summer,2011,Mar,16,0,Mon,Weekday,Misty,0.54,0.5152,0.64,0.2836,29,112,141,Medium Activity
1824,2011-03-21,Summer,2011,Mar,17,0,Mon,Weekday,Misty,0.54,0.5152,0.64,0.2537,41,231,272,Medium Activity
1825,2011-03-21,Summer,2011,Mar,18,0,Mon,Weekday,Misty,0.52,0.5,0.72,0.2239,44,232,276,Medium Activity
1826,2011-03-21,Summer,2011,Mar,19,0,Mon,Weekday,Clear,0.58,0.5455,0.6,0.4179,22,199,221,Medium Activity
1827,2011-03-21,Summer,2011,Mar,20,0,Mon,Weekday,Clear,0.56,0.5303,0.64,0.194,16,106,122,Medium Activity
1828,2011-03-21,Summer,2011,Mar,21,0,Mon,Weekday,Clear,0.46,0.4545,0.94,0.194,12,79,91,Medium Activity
1829,2011-03-21,Summer,2011,Mar,22,0,Mon,Weekday,Clear,0.46,0.4545,0.88,0.2239,18,60,78,Medium Activity
1830,2011-03-21,Summer,2011,Mar,23,0,Mon,Weekday,Clear,0.46,0.4545,0.88,0.0896,8,22,30,Low Activity
1831,2011-03-22,Summer,2011,Mar,0,0,Tue,Weekday,Clear,0.46,0.4545,0.88,0.194,4,7,11,Low Activity
1832,2011-03-22,Summer,2011,Mar,1,0,Tue,Weekday,Clear,0.42,0.4242,1.0,0.1343,6,13,19,Low Activity
1833,2011-03-22,Summer,2011,Mar,2,0,Tue,Weekday,Clear,0.44,0.4394,0.94,0.0896,0,1,1,Low Activity
1834,2011-03-22,Summer,2011,Mar,3,0,Tue,Weekday,Clear,0.44,0.4394,0.82,0.2239,3,2,5,Low Activity
1835,2011-03-22,Summer,2011,Mar,4,0,Tue,Weekday,Misty,0.42,0.4242,0.82,0.1642,0,1,1,Low Activity
1836,2011-03-22,Summer,2011,Mar,5,0,Tue,Weekday,Misty,0.4,0.4091,0.87,0.1343,1,11,12,Low Activity
1837,2011-03-22,Summer,2011,Mar,6,0,Tue,Weekday,Clear,0.4,0.4091,0.87,0.2537,2,58,60,Medium Activity
1838,2011-03-22,Summer,2011,Mar,7,0,Tue,Weekday,Misty,0.4,0.4091,0.76,0.1045,4,132,136,Medium Activity
1839,2011-03-22,Summer,2011,Mar,8,0,Tue,Weekday,Misty,0.4,0.4091,0.58,0.2985,24,312,336,High Activity
1840,2011-03-22,Summer,2011,Mar,9,0,Tue,Weekday,Misty,0.4,0.4091,0.58,0.4627,19,159,178,Medium Activity
1841,2011-03-22,Summer,2011,Mar,10,0,Tue,Weekday,Misty,0.44,0.4394,0.54,0.2985,29,95,124,Medium Activity
1842,2011-03-22,Summer,2011,Mar,11,0,Tue,Weekday,Clear,0.44,0.4394,0.51,0.3284,22,64,86,Medium Activity
1843,2011-03-22,Summer,2011,Mar,12,0,Tue,Weekday,Clear,0.46,0.4545,0.47,0.2537,35,86,121,Medium Activity
1844,2011-03-22,Summer,2011,Mar,13,0,Tue,Weekday,Clear,0.5,0.4848,0.45,0.2239,21,85,106,Medium Activity
1845,2011-03-22,Summer,2011,Mar,14,0,Tue,Weekday,Clear,0.5,0.4848,0.42,0.3284,30,71,101,Medium Activity
1846,2011-03-22,Summer,2011,Mar,15,0,Tue,Weekday,Clear,0.5,0.4848,0.42,0.2239,55,79,134,Medium Activity
1847,2011-03-22,Summer,2011,Mar,16,0,Tue,Weekday,Clear,0.5,0.4848,0.42,0.1045,40,125,165,Medium Activity
1848,2011-03-22,Summer,2011,Mar,17,0,Tue,Weekday,Clear,0.5,0.4848,0.42,0.1045,42,265,307,High Activity
1849,2011-03-22,Summer,2011,Mar,18,0,Tue,Weekday,Clear,0.48,0.4697,0.44,0.0896,41,271,312,High Activity
1850,2011-03-22,Summer,2011,Mar,19,0,Tue,Weekday,Misty,0.44,0.4394,0.54,0.2537,22,142,164,Medium Activity
1851,2011-03-22,Summer,2011,Mar,20,0,Tue,Weekday,Misty,0.44,0.4394,0.54,0.3582,19,116,135,Medium Activity
1852,2011-03-22,Summer,2011,Mar,21,0,Tue,Weekday,Misty,0.42,0.4242,0.54,0.2836,24,63,87,Medium Activity
1853,2011-03-22,Summer,2011,Mar,22,0,Tue,Weekday,Misty,0.4,0.4091,0.58,0.2537,13,57,70,Medium Activity
1854,2011-03-22,Summer,2011,Mar,23,0,Tue,Weekday,Misty,0.4,0.4091,0.58,0.2537,4,28,32,Low Activity
1855,2011-03-23,Summer,2011,Mar,0,0,Wed,Weekday,Light_rain,0.36,0.3485,0.71,0.2239,3,8,11,Low Activity
1856,2011-03-23,Summer,2011,Mar,1,0,Wed,Weekday,Light_rain,0.34,0.3182,0.76,0.2239,0,7,7,Low Activity
1857,2011-03-23,Summer,2011,Mar,2,0,Wed,Weekday,Light_rain,0.34,0.3182,0.76,0.2239,1,1,2,Low Activity
1858,2011-03-23,Summer,2011,Mar,3,0,Wed,Weekday,Misty,0.34,0.3182,0.76,0.2537,0,3,3,Low Activity
1859,2011-03-23,Summer,2011,Mar,5,0,Wed,Weekday,Light_rain,0.32,0.3182,0.87,0.194,0,10,10,Low Activity
1860,2011-03-23,Summer,2011,Mar,6,0,Wed,Weekday,Misty,0.34,0.3182,0.87,0.2537,1,43,44,Medium Activity
1861,2011-03-23,Summer,2011,Mar,7,0,Wed,Weekday,Misty,0.32,0.303,0.93,0.2239,7,111,118,Medium Activity
1862,2011-03-23,Summer,2011,Mar,8,0,Wed,Weekday,Misty,0.32,0.3182,0.87,0.194,14,247,261,Medium Activity
1863,2011-03-23,Summer,2011,Mar,9,0,Wed,Weekday,Misty,0.32,0.303,0.81,0.2537,8,174,182,Medium Activity
1864,2011-03-23,Summer,2011,Mar,10,0,Wed,Weekday,Misty,0.34,0.3182,0.81,0.2836,15,60,75,Medium Activity
1865,2011-03-23,Summer,2011,Mar,11,0,Wed,Weekday,Misty,0.34,0.3333,0.87,0.194,18,53,71,Medium Activity
1866,2011-03-23,Summer,2011,Mar,12,0,Wed,Weekday,Misty,0.34,0.3182,0.87,0.2239,14,73,87,Medium Activity
1867,2011-03-23,Summer,2011,Mar,13,0,Wed,Weekday,Light_rain,0.34,0.3333,0.87,0.1343,14,94,108,Medium Activity
1868,2011-03-23,Summer,2011,Mar,14,0,Wed,Weekday,Misty,0.36,0.3636,0.87,0.1045,13,71,84,Medium Activity
1869,2011-03-23,Summer,2011,Mar,15,0,Wed,Weekday,Misty,0.38,0.3939,0.82,0.2239,11,74,85,Medium Activity
1870,2011-03-23,Summer,2011,Mar,16,0,Wed,Weekday,Misty,0.4,0.4091,0.76,0.2239,13,123,136,Medium Activity
1871,2011-03-23,Summer,2011,Mar,17,0,Wed,Weekday,Misty,0.4,0.4091,0.76,0.2239,28,245,273,Medium Activity
1872,2011-03-23,Summer,2011,Mar,18,0,Wed,Weekday,Light_rain,0.38,0.3939,0.82,0.2537,20,218,238,Medium Activity
1873,2011-03-23,Summer,2011,Mar,19,0,Wed,Weekday,Light_rain,0.38,0.3939,0.82,0.2537,12,147,159,Medium Activity
1874,2011-03-23,Summer,2011,Mar,20,0,Wed,Weekday,Light_rain,0.36,0.303,0.87,0.6418,3,72,75,Medium Activity
1875,2011-03-23,Summer,2011,Mar,21,0,Wed,Weekday,Light_rain,0.32,0.2879,1.0,0.4179,0,22,22,Low Activity
1876,2011-03-23,Summer,2011,Mar,22,0,Wed,Weekday,Misty,0.32,0.3182,0.93,0.1642,6,38,44,Medium Activity
1877,2011-03-23,Summer,2011,Mar,23,0,Wed,Weekday,Light_rain,0.32,0.3333,0.9,0.0,2,24,26,Low Activity
1878,2011-03-24,Summer,2011,Mar,0,0,Thu,Weekday,Misty,0.32,0.303,0.93,0.2239,0,11,11,Low Activity
1879,2011-03-24,Summer,2011,Mar,1,0,Thu,Weekday,Misty,0.3,0.2879,1.0,0.2239,0,3,3,Low Activity
1880,2011-03-24,Summer,2011,Mar,2,0,Thu,Weekday,Misty,0.3,0.2879,1.0,0.2537,0,6,6,Low Activity
1881,2011-03-24,Summer,2011,Mar,3,0,Thu,Weekday,Misty,0.28,0.2727,1.0,0.194,1,0,1,Low Activity
1882,2011-03-24,Summer,2011,Mar,4,0,Thu,Weekday,Misty,0.28,0.2727,1.0,0.194,0,1,1,Low Activity
1883,2011-03-24,Summer,2011,Mar,5,0,Thu,Weekday,Misty,0.28,0.2727,0.93,0.2239,1,8,9,Low Activity
1884,2011-03-24,Summer,2011,Mar,6,0,Thu,Weekday,Misty,0.28,0.2727,0.93,0.2239,0,41,41,Medium Activity
1885,2011-03-24,Summer,2011,Mar,7,0,Thu,Weekday,Light_rain,0.26,0.2576,1.0,0.2239,2,106,108,Medium Activity
1886,2011-03-24,Summer,2011,Mar,8,0,Thu,Weekday,Light_rain,0.26,0.2273,1.0,0.2985,4,120,124,Medium Activity
1887,2011-03-24,Summer,2011,Mar,9,0,Thu,Weekday,Misty,0.26,0.2576,0.93,0.2239,3,94,97,Medium Activity
1888,2011-03-24,Summer,2011,Mar,10,0,Thu,Weekday,Misty,0.26,0.2273,0.93,0.3284,10,55,65,Medium Activity
1889,2011-03-24,Summer,2011,Mar,11,0,Thu,Weekday,Misty,0.3,0.2727,0.81,0.2985,10,61,71,Medium Activity
1890,2011-03-24,Summer,2011,Mar,12,0,Thu,Weekday,Misty,0.3,0.2727,0.7,0.3284,12,82,94,Medium Activity
1891,2011-03-24,Summer,2011,Mar,13,0,Thu,Weekday,Misty,0.32,0.303,0.7,0.2239,11,90,101,Medium Activity
1892,2011-03-24,Summer,2011,Mar,14,0,Thu,Weekday,Misty,0.3,0.303,0.7,0.1343,17,66,83,Medium Activity
1893,2011-03-24,Summer,2011,Mar,15,0,Thu,Weekday,Misty,0.3,0.2879,0.7,0.2537,13,77,90,Medium Activity
1894,2011-03-24,Summer,2011,Mar,16,0,Thu,Weekday,Misty,0.3,0.2879,0.65,0.2239,6,78,84,Medium Activity
1895,2011-03-24,Summer,2011,Mar,17,0,Thu,Weekday,Misty,0.3,0.2879,0.7,0.2239,12,221,233,Medium Activity
1896,2011-03-24,Summer,2011,Mar,18,0,Thu,Weekday,Misty,0.3,0.2727,0.61,0.2985,17,197,214,Medium Activity
1897,2011-03-24,Summer,2011,Mar,19,0,Thu,Weekday,Clear,0.3,0.2727,0.56,0.3881,16,122,138,Medium Activity
1898,2011-03-24,Summer,2011,Mar,20,0,Thu,Weekday,Clear,0.28,0.2576,0.61,0.2836,8,110,118,Medium Activity
1899,2011-03-24,Summer,2011,Mar,21,0,Thu,Weekday,Clear,0.26,0.2576,0.65,0.2239,11,67,78,Medium Activity
1900,2011-03-24,Summer,2011,Mar,22,0,Thu,Weekday,Clear,0.26,0.2576,0.65,0.1642,3,59,62,Medium Activity
1901,2011-03-24,Summer,2011,Mar,23,0,Thu,Weekday,Clear,0.24,0.2273,0.65,0.194,9,24,33,Low Activity
1902,2011-03-25,Summer,2011,Mar,0,0,Fri,Weekday,Clear,0.24,0.2273,0.6,0.194,1,17,18,Low Activity
1903,2011-03-25,Summer,2011,Mar,1,0,Fri,Weekday,Clear,0.2,0.2121,0.69,0.1642,0,5,5,Low Activity
1904,2011-03-25,Summer,2011,Mar,2,0,Fri,Weekday,Clear,0.2,0.197,0.69,0.2239,0,5,5,Low Activity
1905,2011-03-25,Summer,2011,Mar,3,0,Fri,Weekday,Clear,0.2,0.2273,0.69,0.1045,0,2,2,Low Activity
1906,2011-03-25,Summer,2011,Mar,4,0,Fri,Weekday,Clear,0.18,0.2121,0.74,0.1045,3,2,5,Low Activity
1907,2011-03-25,Summer,2011,Mar,5,0,Fri,Weekday,Clear,0.18,0.197,0.74,0.1642,0,9,9,Low Activity
1908,2011-03-25,Summer,2011,Mar,6,0,Fri,Weekday,Clear,0.18,0.1818,0.74,0.2239,0,32,32,Low Activity
1909,2011-03-25,Summer,2011,Mar,7,0,Fri,Weekday,Clear,0.2,0.1818,0.59,0.3582,4,100,104,Medium Activity
1910,2011-03-25,Summer,2011,Mar,8,0,Fri,Weekday,Clear,0.22,0.2121,0.51,0.2836,9,228,237,Medium Activity
1911,2011-03-25,Summer,2011,Mar,9,0,Fri,Weekday,Clear,0.24,0.2121,0.48,0.2985,16,150,166,Medium Activity
1912,2011-03-25,Summer,2011,Mar,10,0,Fri,Weekday,Clear,0.26,0.2576,0.48,0.0,15,53,68,Medium Activity
1913,2011-03-25,Summer,2011,Mar,11,0,Fri,Weekday,Clear,0.3,0.2879,0.45,0.2836,17,58,75,Medium Activity
1914,2011-03-25,Summer,2011,Mar,12,0,Fri,Weekday,Clear,0.32,0.303,0.42,0.2537,37,108,145,Medium Activity
1915,2011-03-25,Summer,2011,Mar,13,0,Fri,Weekday,Clear,0.32,0.3182,0.39,0.194,34,104,138,Medium Activity
1916,2011-03-25,Summer,2011,Mar,14,0,Fri,Weekday,Clear,0.36,0.3333,0.32,0.3284,30,103,133,Medium Activity
1917,2011-03-25,Summer,2011,Mar,15,0,Fri,Weekday,Misty,0.34,0.3182,0.36,0.2537,43,79,122,Medium Activity
1918,2011-03-25,Summer,2011,Mar,16,0,Fri,Weekday,Misty,0.34,0.303,0.34,0.2985,23,127,150,Medium Activity
1919,2011-03-25,Summer,2011,Mar,17,0,Fri,Weekday,Misty,0.32,0.2879,0.36,0.3582,23,202,225,Medium Activity
1920,2011-03-25,Summer,2011,Mar,18,0,Fri,Weekday,Clear,0.3,0.2879,0.39,0.2537,8,190,198,Medium Activity
1921,2011-03-25,Summer,2011,Mar,19,0,Fri,Weekday,Misty,0.3,0.2879,0.36,0.2836,9,126,135,Medium Activity
1922,2011-03-25,Summer,2011,Mar,20,0,Fri,Weekday,Misty,0.3,0.303,0.39,0.1343,6,75,81,Medium Activity
1923,2011-03-25,Summer,2011,Mar,21,0,Fri,Weekday,Misty,0.3,0.303,0.39,0.1642,11,64,75,Medium Activity
1924,2011-03-25,Summer,2011,Mar,22,0,Fri,Weekday,Misty,0.28,0.2576,0.38,0.3284,3,40,43,Medium Activity
1925,2011-03-25,Summer,2011,Mar,23,0,Fri,Weekday,Misty,0.26,0.2424,0.38,0.2836,8,31,39,Low Activity
1926,2011-03-26,Summer,2011,Mar,0,0,Sat,Weekend,Misty,0.26,0.2424,0.38,0.2836,3,25,28,Low Activity
1927,2011-03-26,Summer,2011,Mar,1,0,Sat,Weekend,Clear,0.26,0.2273,0.38,0.2985,3,24,27,Low Activity
1928,2011-03-26,Summer,2011,Mar,2,0,Sat,Weekend,Clear,0.22,0.2121,0.44,0.2239,4,21,25,Low Activity
1929,2011-03-26,Summer,2011,Mar,3,0,Sat,Weekend,Clear,0.2,0.197,0.47,0.194,2,7,9,Low Activity
1930,2011-03-26,Summer,2011,Mar,4,0,Sat,Weekend,Clear,0.22,0.2121,0.44,0.2239,2,4,6,Low Activity
1931,2011-03-26,Summer,2011,Mar,5,0,Sat,Weekend,Clear,0.2,0.197,0.51,0.194,0,8,8,Low Activity
1932,2011-03-26,Summer,2011,Mar,6,0,Sat,Weekend,Clear,0.18,0.1818,0.55,0.194,2,8,10,Low Activity
1933,2011-03-26,Summer,2011,Mar,7,0,Sat,Weekend,Clear,0.2,0.197,0.51,0.194,18,23,41,Medium Activity
1934,2011-03-26,Summer,2011,Mar,8,0,Sat,Weekend,Clear,0.22,0.2273,0.44,0.1343,24,42,66,Medium Activity
1935,2011-03-26,Summer,2011,Mar,9,0,Sat,Weekend,Clear,0.24,0.2424,0.41,0.1343,32,68,100,Medium Activity
1936,2011-03-26,Summer,2011,Mar,10,0,Sat,Weekend,Clear,0.26,0.2576,0.41,0.1642,32,93,125,Medium Activity
1937,2011-03-26,Summer,2011,Mar,11,0,Sat,Weekend,Clear,0.28,0.2727,0.38,0.1642,75,93,168,Medium Activity
1938,2011-03-26,Summer,2011,Mar,12,0,Sat,Weekend,Clear,0.3,0.2879,0.36,0.194,98,129,227,Medium Activity
1939,2011-03-26,Summer,2011,Mar,13,0,Sat,Weekend,Clear,0.32,0.303,0.33,0.2239,94,145,239,Medium Activity
1940,2011-03-26,Summer,2011,Mar,14,0,Sat,Weekend,Clear,0.34,0.3182,0.29,0.2239,93,123,216,Medium Activity
1941,2011-03-26,Summer,2011,Mar,15,0,Sat,Weekend,Clear,0.34,0.3333,0.29,0.194,110,109,219,Medium Activity
1942,2011-03-26,Summer,2011,Mar,16,0,Sat,Weekend,Clear,0.34,0.3333,0.23,0.194,118,130,248,Medium Activity
1943,2011-03-26,Summer,2011,Mar,17,0,Sat,Weekend,Clear,0.32,0.303,0.24,0.2239,102,101,203,Medium Activity
1944,2011-03-26,Summer,2011,Mar,18,0,Sat,Weekend,Misty,0.32,0.3182,0.21,0.1642,64,89,153,Medium Activity
1945,2011-03-26,Summer,2011,Mar,19,0,Sat,Weekend,Misty,0.28,0.2727,0.45,0.2537,45,93,138,Medium Activity
1946,2011-03-26,Summer,2011,Mar,20,0,Sat,Weekend,Misty,0.28,0.2727,0.45,0.2537,18,67,85,Medium Activity
1947,2011-03-26,Summer,2011,Mar,21,0,Sat,Weekend,Misty,0.26,0.2576,0.44,0.194,15,36,51,Medium Activity
1948,2011-03-26,Summer,2011,Mar,22,0,Sat,Weekend,Misty,0.28,0.2727,0.41,0.2239,17,46,63,Medium Activity
1949,2011-03-26,Summer,2011,Mar,23,0,Sat,Weekend,Misty,0.26,0.2424,0.44,0.2836,10,31,41,Medium Activity
1950,2011-03-27,Summer,2011,Mar,0,0,Sun,Weekend,Misty,0.26,0.2576,0.41,0.1642,5,26,31,Low Activity
1951,2011-03-27,Summer,2011,Mar,1,0,Sun,Weekend,Misty,0.24,0.2273,0.52,0.194,3,17,20,Low Activity
1952,2011-03-27,Summer,2011,Mar,2,0,Sun,Weekend,Light_rain,0.22,0.2273,0.55,0.194,6,15,21,Low Activity
1953,2011-03-27,Summer,2011,Mar,3,0,Sun,Weekend,Light_rain,0.2,0.197,0.69,0.2239,0,14,14,Low Activity
1954,2011-03-27,Summer,2011,Mar,4,0,Sun,Weekend,Light_rain,0.18,0.197,0.74,0.1642,1,5,6,Low Activity
1955,2011-03-27,Summer,2011,Mar,6,0,Sun,Weekend,Light_rain,0.16,0.1818,0.86,0.1343,0,2,2,Low Activity
1956,2011-03-27,Summer,2011,Mar,7,0,Sun,Weekend,Light_rain,0.16,0.1667,0.86,0.1642,0,7,7,Low Activity
1957,2011-03-27,Summer,2011,Mar,8,0,Sun,Weekend,Clear,0.2,0.197,0.69,0.2239,6,8,14,Low Activity
1958,2011-03-27,Summer,2011,Mar,9,0,Sun,Weekend,Clear,0.22,0.2273,0.55,0.1343,17,37,54,Medium Activity
1959,2011-03-27,Summer,2011,Mar,10,0,Sun,Weekend,Misty,0.22,0.2121,0.55,0.2239,27,59,86,Medium Activity
1960,2011-03-27,Summer,2011,Mar,11,0,Sun,Weekend,Misty,0.24,0.2424,0.48,0.1642,23,85,108,Medium Activity
1961,2011-03-27,Summer,2011,Mar,12,0,Sun,Weekend,Misty,0.26,0.2576,0.44,0.2239,43,120,163,Medium Activity
1962,2011-03-27,Summer,2011,Mar,13,0,Sun,Weekend,Clear,0.3,0.2879,0.39,0.2239,47,100,147,Medium Activity
1963,2011-03-27,Summer,2011,Mar,14,0,Sun,Weekend,Clear,0.32,0.3182,0.36,0.1642,61,103,164,Medium Activity
1964,2011-03-27,Summer,2011,Mar,15,0,Sun,Weekend,Clear,0.32,0.303,0.36,0.2836,61,111,172,Medium Activity
1965,2011-03-27,Summer,2011,Mar,16,0,Sun,Weekend,Clear,0.34,0.3333,0.34,0.0,45,98,143,Medium Activity
1966,2011-03-27,Summer,2011,Mar,17,0,Sun,Weekend,Clear,0.32,0.303,0.31,0.2537,50,109,159,Medium Activity
1967,2011-03-27,Summer,2011,Mar,18,0,Sun,Weekend,Clear,0.3,0.2879,0.33,0.194,32,105,137,Medium Activity
1968,2011-03-27,Summer,2011,Mar,19,0,Sun,Weekend,Clear,0.3,0.2879,0.31,0.2239,23,80,103,Medium Activity
1969,2011-03-27,Summer,2011,Mar,20,0,Sun,Weekend,Clear,0.28,0.2727,0.36,0.1642,7,50,57,Medium Activity
1970,2011-03-27,Summer,2011,Mar,21,0,Sun,Weekend,Clear,0.26,0.2576,0.41,0.1642,7,29,36,Low Activity
1971,2011-03-27,Summer,2011,Mar,22,0,Sun,Weekend,Clear,0.26,0.2576,0.41,0.1642,5,25,30,Low Activity
1972,2011-03-27,Summer,2011,Mar,23,0,Sun,Weekend,Clear,0.26,0.2576,0.44,0.194,3,16,19,Low Activity
1973,2011-03-28,Summer,2011,Mar,0,0,Mon,Weekday,Clear,0.22,0.2273,0.55,0.194,1,11,12,Low Activity
1974,2011-03-28,Summer,2011,Mar,1,0,Mon,Weekday,Clear,0.22,0.2273,0.44,0.194,2,4,6,Low Activity
1975,2011-03-28,Summer,2011,Mar,2,0,Mon,Weekday,Clear,0.22,0.2273,0.44,0.1642,0,5,5,Low Activity
1976,2011-03-28,Summer,2011,Mar,3,0,Mon,Weekday,Clear,0.22,0.2273,0.44,0.1642,0,2,2,Low Activity
1977,2011-03-28,Summer,2011,Mar,5,0,Mon,Weekday,Clear,0.18,0.1818,0.43,0.194,0,8,8,Low Activity
1978,2011-03-28,Summer,2011,Mar,6,0,Mon,Weekday,Clear,0.18,0.1667,0.34,0.2836,0,40,40,Medium Activity
1979,2011-03-28,Summer,2011,Mar,7,0,Mon,Weekday,Clear,0.2,0.1818,0.32,0.3284,6,104,110,Medium Activity
1980,2011-03-28,Summer,2011,Mar,8,0,Mon,Weekday,Clear,0.2,0.197,0.34,0.2239,15,239,254,Medium Activity
1981,2011-03-28,Summer,2011,Mar,9,0,Mon,Weekday,Misty,0.22,0.2121,0.32,0.2239,12,109,121,Medium Activity
1982,2011-03-28,Summer,2011,Mar,10,0,Mon,Weekday,Clear,0.24,0.2273,0.3,0.194,22,47,69,Medium Activity
1983,2011-03-28,Summer,2011,Mar,11,0,Mon,Weekday,Misty,0.26,0.2424,0.3,0.2836,18,39,57,Medium Activity
1984,2011-03-28,Summer,2011,Mar,12,0,Mon,Weekday,Misty,0.26,0.2727,0.25,0.0,8,71,79,Medium Activity
1985,2011-03-28,Summer,2011,Mar,13,0,Mon,Weekday,Misty,0.3,0.2879,0.24,0.2239,14,69,83,Medium Activity
1986,2011-03-28,Summer,2011,Mar,14,0,Mon,Weekday,Clear,0.32,0.303,0.22,0.2239,15,65,80,Medium Activity
1987,2011-03-28,Summer,2011,Mar,15,0,Mon,Weekday,Clear,0.32,0.303,0.24,0.2836,19,53,72,Medium Activity
1988,2011-03-28,Summer,2011,Mar,16,0,Mon,Weekday,Clear,0.34,0.3182,0.23,0.2239,15,117,132,Medium Activity
1989,2011-03-28,Summer,2011,Mar,17,0,Mon,Weekday,Clear,0.34,0.303,0.23,0.2985,25,227,252,Medium Activity
1990,2011-03-28,Summer,2011,Mar,18,0,Mon,Weekday,Clear,0.32,0.303,0.21,0.2836,21,220,241,Medium Activity
1991,2011-03-28,Summer,2011,Mar,19,0,Mon,Weekday,Clear,0.3,0.303,0.22,0.1343,17,156,173,Medium Activity
1992,2011-03-28,Summer,2011,Mar,20,0,Mon,Weekday,Clear,0.32,0.3333,0.22,0.1045,5,107,112,Medium Activity
1993,2011-03-28,Summer,2011,Mar,21,0,Mon,Weekday,Clear,0.32,0.3333,0.21,0.1343,6,55,61,Medium Activity
1994,2011-03-28,Summer,2011,Mar,22,0,Mon,Weekday,Clear,0.3,0.2879,0.22,0.2239,0,40,40,Medium Activity
1995,2011-03-28,Summer,2011,Mar,23,0,Mon,Weekday,Clear,0.28,0.2576,0.24,0.2985,1,18,19,Low Activity
1996,2011-03-29,Summer,2011,Mar,0,0,Tue,Weekday,Clear,0.26,0.2273,0.28,0.3284,1,15,16,Low Activity
1997,2011-03-29,Summer,2011,Mar,1,0,Tue,Weekday,Clear,0.24,0.2121,0.32,0.2985,0,4,4,Low Activity
1998,2011-03-29,Summer,2011,Mar,2,0,Tue,Weekday,Clear,0.24,0.2121,0.32,0.2985,0,3,3,Low Activity
1999,2011-03-29,Summer,2011,Mar,3,0,Tue,Weekday,Clear,0.24,0.2121,0.32,0.2985,2,1,3,Low Activity
2000,2011-03-29,Summer,2011,Mar,4,0,Tue,Weekday,Clear,0.2,0.2121,0.44,0.1642,1,1,2,Low Activity
2001,2011-03-29,Summer,2011,Mar,5,0,Tue,Weekday,Clear,0.22,0.2121,0.37,0.2537,0,8,8,Low Activity
2002,2011-03-29,Summer,2011,Mar,6,0,Tue,Weekday,Clear,0.22,0.2121,0.41,0.2985,4,46,50,Medium Activity
2003,2011-03-29,Summer,2011,Mar,7,0,Tue,Weekday,Clear,0.22,0.197,0.41,0.3582,5,128,133,Medium Activity
2004,2011-03-29,Summer,2011,Mar,8,0,Tue,Weekday,Clear,0.24,0.2121,0.35,0.3582,19,268,287,High Activity
2005,2011-03-29,Summer,2011,Mar,9,0,Tue,Weekday,Clear,0.28,0.2576,0.28,0.3881,16,156,172,Medium Activity
2006,2011-03-29,Summer,2011,Mar,10,0,Tue,Weekday,Clear,0.3,0.2727,0.24,0.2985,13,46,59,Medium Activity
2007,2011-03-29,Summer,2011,Mar,11,0,Tue,Weekday,Misty,0.34,0.303,0.25,0.3881,18,63,81,Medium Activity
2008,2011-03-29,Summer,2011,Mar,12,0,Tue,Weekday,Clear,0.34,0.3333,0.25,0.1642,29,77,106,Medium Activity
2009,2011-03-29,Summer,2011,Mar,13,0,Tue,Weekday,Clear,0.34,0.303,0.25,0.2985,24,80,104,Medium Activity
